timestamp,region,latitude,longitude,PSI,SO2,PM10,NO2,O3,CO,PM25,,,,,,,,,,,,,
23/04/2024 09:17,East,1.35735,103.82,,5,32,38,9,0.9,23,,,,,,,,,,,,,
23/04/2024 09:17,West,1.29587,103.82,,3,29,32,4,1.1,13,,,,,,,,,,,,,
23/04/2024 09:17,Central,1.41803,103.82,,4,29,19,4,0.7,16,,,,,,,,,,,,,
23/04/2024 10:17,North,1.35735,103.7,,4,29,66,11,1,16,,,,,,,,,,,,,
23/04/2024 10:17,South,1.35735,103.94,,6,27,20,4,0.7,17,,,,,,,,,,,,,
23/04/2024 10:17,East,1.35735,103.82,,5,32,56,12,1,23,,,,,,,,,,,,,
23/04/2024 10:17,West,1.29587,103.82,,3,30,36,4,1,14,,,,,,,,,,,,,
23/04/2024 10:17,Central,1.41803,103.82,,4,29,21,5,0.7,16,,,,,,,,,,,,,
23/04/2024 11:17,North,1.35735,103.7,,4,29,47,16,1,16,,,,,,,,,,,,,
23/04/2024 11:17,South,1.35735,103.94,,6,27,22,4,0.7,16,,,,,,,,,,,,,
23/04/2024 11:17,East,1.35735,103.82,,5,32,44,15,0.9,24,,,,,,,,,,,,,
23/04/2024 11:17,West,1.29587,103.82,,3,31,43,5,1,14,,,,,,,,,,,,,
23/04/2024 11:17,Central,1.41803,103.82,,4,29,69,9,0.7,16,,,,,,,,,,,,,
23/04/2024 12:17,North,1.35735,103.7,,3,30,64,27,1,16,,,,,,,,,,,,,
23/04/2024 12:17,South,1.35735,103.94,,5,27,23,5,0.7,16,,1,,,,,,,,,,,
23/04/2024 12:17,East,1.35735,103.82,,5,32,29,17,0.9,24,,,,,,,,,,,,,
23/04/2024 12:17,West,1.29587,103.82,,3,32,61,5,0.9,15,,,,,,,,,,,,,
23/04/2024 12:17,Central,1.41803,103.82,,4,29,56,13,0.6,16,,,,,,,,,,,,,
23/04/2024 13:17,North,1.35735,103.7,,3,31,39,38,0.9,16,,,,,,,,,,,,,
23/04/2024 13:17,South,1.35735,103.94,,5,27,20,7,0.7,16,,,,,,,,,,,,,
23/04/2024 13:17,East,1.35735,103.82,,4,32,31,21,0.9,23,,,,,,,,,,,,,
23/04/2024 13:17,West,1.29587,103.82,,3,33,64,6,0.9,15,,,,,,,,,,,,,
23/04/2024 13:17,Central,1.41803,103.82,,4,28,37,20,0.6,16,,,,,,,,,,,,,
